title,description,position,full_name,first_name,last_name,gender,place
Lijst 9 Lokaal Waterbeheer,,1,J. van der Kolk,Jan,van der Kolk,m,Harderwijk
Lijst 9 Lokaal Waterbeheer,,2,R.F. Landsbergen,Rob,Landsbergen,m,Bennekom
Lijst 9 Lokaal Waterbeheer,,3,H.J. van Hartskamp,Henk-Jan,van Hartskamp,m,Apeldoorn
Lijst 9 Lokaal Waterbeheer,,4,M.K. Bor,Rien,Bor,m,Wageningen
Lijst 9 Lokaal Waterbeheer,,5,H.J.P. Motshagen,Henk,Motshagen,m,Harderwijk
Lijst 9 Lokaal Waterbeheer,,6,G.W. Hoeve,Wim,Hoeve,m,Elburg
Lijst 9 Lokaal Waterbeheer,,7,E.C. Bos,Elly,Bos,v,Beekbergen
Lijst 9 Lokaal Waterbeheer,,8,W.B.A. Groen,Wim,Groen,m,Hierden
Lijst 9 Lokaal Waterbeheer,,9,M. Douma,Mame,Douma,m,Eerbeek
Lijst 9 Lokaal Waterbeheer,,10,M.C.A. Riemens,Marion,Riemens,v,Eemnes
Lijst 9 Lokaal Waterbeheer,,11,D.S.M. Beeldsnijder,David,Beeldsnijder,m,Renswoude
Lijst 9 Lokaal Waterbeheer,,12,G. Wiesenekker,Geertje,Wiesenekker,v,Rhenen
Lijst 9 Lokaal Waterbeheer,,13,R.G.H. Hazelaar,Rein,Hazelaar,m,Voorst
Lijst 9 Lokaal Waterbeheer,,14,J.A.G.M. van den Wildenberg,Judith,van den Wildenberg,v,Barneveld
Lijst 9 Lokaal Waterbeheer,,15,M. van de Hoef,Marco,van de Hoef,m,Woudenberg
Lijst 9 Lokaal Waterbeheer,,16,C.D. Gerritsen-van Bentem,Danielle,Gerritsen-van Bentem,v,Doorwerth
Lijst 9 Lokaal Waterbeheer,,17,J.C. Laponder,Hans,Laponder,m,Hoenderloo
Lijst 9 Lokaal Waterbeheer,,18,A.H. Janssen,Adri,Janssen,m,Veenendaal
Lijst 9 Lokaal Waterbeheer,,19,E.R. Kouwenberg,Edwin,Kouwenberg,m,Baarn
Lijst 9 Lokaal Waterbeheer,,20,H. Bos,Hendrik,Bos,m,Bunschoten
Lijst 9 Lokaal Waterbeheer,,21,G. Porte,Gerrit,Porte,m,Apeldoorn
Lijst 9 Lokaal Waterbeheer,,22,H.M. Brons,Henk,Brons,m,Scherpenzeel
Lijst 9 Lokaal Waterbeheer,,23,T. Koelewijn,Tijmen,Koelewijn,m,Soest
Lijst 9 Lokaal Waterbeheer,,24,J. Bijsterbosch,Jan,Bijsterbosch,m,Wapenveld
Lijst 9 Lokaal Waterbeheer,,25,G.M. van Eek,Gradus,van Eek,m,Vaassen
