title,description,position,full_name,first_name,last_name,gender,place
"Lijst 1 Water, Wonen en Natuur",,1,J. van Olst,Jacob,van Olst,m,Dronten
"Lijst 1 Water, Wonen en Natuur",,2,J. Nieuwenhuis,Jan,Nieuwenhuis,m,Zeewolde
"Lijst 1 Water, Wonen en Natuur",,3,J.J. Ottens,Janneke,Ottens,v,Lelystad
"Lijst 1 Water, Wonen en Natuur",,4,R. van de Geijn,René,van de Geijn,m,Almere
"Lijst 1 Water, Wonen en Natuur",,5,J.P.T. Caris,Jo,Caris,m,Almere
"Lijst 1 Water, Wonen en Natuur",,6,J.W. Bakker,Judo,Bakker,m,Emmeloord
"Lijst 1 Water, Wonen en Natuur",,7,S.E. Roos-d'Arnaud,Sylvia,Roos-d'Arnaud,v,Lelystad
"Lijst 1 Water, Wonen en Natuur",,8,J. van Gelder,Jaap,van Gelder,m,Lelystad
"Lijst 1 Water, Wonen en Natuur",,9,W. van der Kooij,Wolter,van der Kooij,m,Dronten
"Lijst 1 Water, Wonen en Natuur",,10,J. van Eerde,Janneke,van Eerde,v,Lelystad
"Lijst 1 Water, Wonen en Natuur",,11,F.J. Schuurman,Frans Jan,Schuurman,m,Almere
"Lijst 1 Water, Wonen en Natuur",,12,E.M. de Vries,Eduard,de Vries,m,Lelystad
"Lijst 1 Water, Wonen en Natuur",,13,J.A.M. Hol,Hans,Hol,m,Almere
"Lijst 1 Water, Wonen en Natuur",,14,B. Fokkens,Bart,Fokkens,m,Lelystad
"Lijst 1 Water, Wonen en Natuur",,15,H.J. Linzel,Herman,Linzel,m,Almere
"Lijst 1 Water, Wonen en Natuur",,16,P.B.M. Stortelder,Paul,Stortelder,m,Lelystad
"Lijst 1 Water, Wonen en Natuur",,17,C.W.J. Okkerse,Cees,Okkerse,m,Lelystad
