title,description,position,full_name,first_name,last_name,gender,place
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),1,M.A.J. Jager-Wöltgens,Marian,Jager-Wöltgens,v,Oosterwolde
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),2,T. Clevering,Tieneke,Clevering,v,Leeuwarden
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),3,A. Wouda,Auke,Wouda,m,Sneek
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),4,M.G. Vroom,Marjan,Vroom,v,Hurdegaryp
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),5,I. Groeneveld,Irona,Groeneveld,v,Burgum
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),6,J.W.M. Kloppenburg,Sjaak,Kloppenburg,m,Joure
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),7,S. Kromkamp,Sybrig,Kromkamp,v,Franeker
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),8,A.B.J. Hartsuiker,Age,Hartsuiker,m,Jubbega
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),9,K. van der Meulen,Klaas,van der Meulen,m,Drachten
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),10,E.J.M. van Loon,Els,van Loon,v,Beetsterzwaag
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),11,A.P. van der Horst,Adriaan,van der Horst,m,Woudsend
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),12,H.F. Schurink,Hilmar,Schurink,m,Lies
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),13,J.C. Jongman,Jasper,Jongman,m,Feanwâlden
Lijst 1 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),14,A.B.A. Overdiep,Tonnie,Overdiep,m,Nes
