title,description,position,full_name,first_name,last_name,gender,place
Lijst 9 50PLUS,,1,T. Wiersma,Theun,Wiersma,m,Sneek
Lijst 9 50PLUS,,2,P.T. Spijkstra,Pietsje,Spijkstra,v,Ternaard
Lijst 9 50PLUS,,3,J. Waterlander,Jan,Waterlander,m,Leeuwarden
Lijst 9 50PLUS,,4,C. Wijnstra,Cor,Wijnstra,m,Leeuwarden
Lijst 9 50PLUS,,5,D.P. de Vries,Doeke,de Vries,m,Stavoren
Lijst 9 50PLUS,,6,G. de Jong,Geert,de Jong,m,Harlingen
Lijst 9 50PLUS,,7,H. Postema,Heero,Postema,m,Opeinde
Lijst 9 50PLUS,,8,M. Prinsen,Mathilde,Prinsen,v,Harlingen
Lijst 9 50PLUS,,9,A.W. Klopman,Aafke,Klopman,v,Leeuwarden
Lijst 9 50PLUS,,10,C.M. Keune,Lian,Keune,v,Lemmer
Lijst 9 50PLUS,,11,W.S. Hogenbirk,William,Hogenbirk,m,Lemmer
